State,Year,Expenditure
Connecticut,2021,1061.647
Connecticut,2020,1095.011
Connecticut,2019,1109.6056
Connecticut,2018,1077.0876
Connecticut,2017,1058.0683
Connecticut,2016,1058.0683
Connecticut,2015,1038.6454
Connecticut,2014,1892.882
Connecticut,2013,1722.169
Connecticut,2012,1687.7733
Connecticut,2011,1715.6183
Connecticut,2010,1565.7151
Connecticut,2009,1587.2048
Connecticut,2008,1462.36
Connecticut,2007,1352.0728
Connecticut,2006,1317.738652322983
Connecticut,2005,1238.55759809932
Connecticut,2004,1193.471914656757
Maine,2021,3077.1167
Maine,2020,2871.4876
Maine,2019,2611.3259
Maine,2018,2492.1656
Maine,2017,2379.2941
Maine,2016,2379.2941
Maine,2015,2287.5957
Maine,2014,2632.6442
Maine,2013,2286.582
Maine,2012,2292.0584
Maine,2011,2202.5945
Maine,2010,2205.8492
Maine,2009,2147.8065
Maine,2008,1883.2469
Maine,2007,1851.5207
Maine,2006,1886.1802376665792
Maine,2005,1769.4752829683641
Maine,2004,1756.594412067401
Massachusetts,2021,3885.3573
Massachusetts,2020,3671.1475
Massachusetts,2019,3511.4762
Massachusetts,2018,3403.9721
Massachusetts,2017,3208.2923
Massachusetts,2016,3208.2923
Massachusetts,2015,2872.3351
Massachusetts,2014,2661.3352
Massachusetts,2013,2490.2614
Massachusetts,2012,2437.8492
Massachusetts,2011,2193.698
Massachusetts,2010,2064.1341
Massachusetts,2009,1987.7323
Massachusetts,2008,1914.0422
Massachusetts,2007,1911.0651
Massachusetts,2006,1711.1749237607494
Massachusetts,2005,1578.2096391073962
Massachusetts,2004,1607.1475969315757
New Hampshire,2021,2201.3009
New Hampshire,2020,1896.8146
New Hampshire,2019,1805.0836
New Hampshire,2018,1762.7666
New Hampshire,2017,1775.898
New Hampshire,2016,1775.898
New Hampshire,2015,1400.9704
New Hampshire,2014,1150.4722
New Hampshire,2013,1109.1364
New Hampshire,2012,1128.6027
New Hampshire,2011,1585.2271
New Hampshire,2010,1556.7685
New Hampshire,2009,1459.6414
New Hampshire,2008,1244.1915
New Hampshire,2007,1177.8209
New Hampshire,2006,1124.7855186798422
New Hampshire,2005,1250.4705458331666
New Hampshire,2004,1174.6161794126285
Rhode Island,2021,3156.5245
Rhode Island,2020,2925.2334
Rhode Island,2019,3000.3965
Rhode Island,2018,2929.7157
Rhode Island,2017,2870.3427
Rhode Island,2016,2870.3427
Rhode Island,2015,2718.3204
Rhode Island,2014,2364.713
Rhode Island,2013,2100.385
Rhode Island,2012,2137.5666
Rhode Island,2011,2213.7609
Rhode Island,2010,2142.4534
Rhode Island,2009,2002.3851
Rhode Island,2008,2041.2179
Rhode Island,2007,1897.3012
Rhode Island,2006,1947.909690187904
Rhode Island,2005,1947.2982893785654
Rhode Island,2004,1788.0974781751738
Vermont,2021,3194.9404
Vermont,2020,3044.1178
Vermont,2019,2904.3497
Vermont,2018,2818.6047
Vermont,2017,2857.602
Vermont,2016,2857.602
Vermont,2015,2783.7779
Vermont,2014,2742.2183
Vermont,2013,2584.0202
Vermont,2012,2390.9582
Vermont,2011,2335.5097
Vermont,2010,2246.8764
Vermont,2009,2177.1575
Vermont,2008,2009.754
Vermont,2007,1930.3796
Vermont,2006,1788.737052330099
Vermont,2005,1807.4595751873344
Vermont,2004,1638.2307394502518
Delaware,2021,3135.1862
Delaware,2020,2848.6192
Delaware,2019,2707.4341
Delaware,2018,2792.9381
Delaware,2017,2619.984
Delaware,2016,2619.984
Delaware,2015,2414.357
Delaware,2014,2237.4567
Delaware,2013,2083.8722
Delaware,2012,2000.3189
Delaware,2011,1934.2503
Delaware,2010,1833.833
Delaware,2009,1690.5196
Delaware,2008,1632.0233
Delaware,2007,1509.392
Delaware,2006,1445.005516323196
Delaware,2005,1328.165414423475
Delaware,2004,1228.2153530981473
District of Columbia,2021,7044.5505
District of Columbia,2020,6549.506
District of Columbia,2019,5954.6296
District of Columbia,2018,5483.4211
District of Columbia,2017,5526.9177
District of Columbia,2016,5526.9177
District of Columbia,2015,5353.6604
District of Columbia,2014,4986.1708
District of Columbia,2013,4950.9535
District of Columbia,2012,4505.0123
District of Columbia,2011,4572.0442
District of Columbia,2010,4428.0523
District of Columbia,2009,4316.5301
District of Columbia,2008,4159.9246
District of Columbia,2007,3780.0294
District of Columbia,2006,3225.7127887558895
District of Columbia,2005,3105.80354623935
District of Columbia,2004,2969.247244405147
Maryland,2021,2736.0994
Maryland,2020,2404.5981
Maryland,2019,2262.2202
Maryland,2018,2147.4116
Maryland,2017,2159.6883
Maryland,2016,2159.6883
Maryland,2015,2040.3138
Maryland,2014,1848.9065
Maryland,2013,1725.5703
Maryland,2012,1711.4234
Maryland,2011,1627.2732
Maryland,2010,1558.2651
Maryland,2009,1469.865
Maryland,2008,1291.2799
Maryland,2007,1243.5496
Maryland,2006,1156.791444382426
Maryland,2005,1065.5018195297566
Maryland,2004,1011.3296802648669
New Jersey,2021,2396.0558
New Jersey,2020,2151.7338
New Jersey,2019,2069.246
New Jersey,2018,2039.9149
New Jersey,2017,2003.561
New Jersey,2016,2003.561
New Jersey,2015,1796.5058
New Jersey,2014,1570.2906
New Jersey,2013,1524.9379
New Jersey,2012,1600.6886
New Jersey,2011,1628.9343
New Jersey,2010,1590.1137
New Jersey,2009,1524.4458
New Jersey,2008,1448.6925
New Jersey,2007,1387.2273
New Jersey,2006,1436.0544878192784
New Jersey,2005,1295.4593945844035
New Jersey,2004,1153.0494717681652
New York,2021,4249.263
New York,2020,4129.5806
New York,2019,3916.5975
New York,2018,3768.93
New York,2017,3481.8156
New York,2016,3481.8156
New York,2015,3004.1441
New York,2014,2738.6862
New York,2013,2905.4581
New York,2012,2602.7477
New York,2011,2585.3935
New York,2010,2525.4908
New York,2009,2311.9375
New York,2008,2287.4528
New York,2007,2333.1813
New York,2006,2259.9817813806508
New York,2005,2228.7784050372634
New York,2004,2113.4259395697804
Pennsylvania,2021,3157.0006
Pennsylvania,2020,3225.83
Pennsylvania,2019,2744.9681
Pennsylvania,2018,2436.0611
Pennsylvania,2017,2645.2564
Pennsylvania,2016,2645.2564
Pennsylvania,2015,2073.2412
Pennsylvania,2014,2069.6921
Pennsylvania,2013,1947.7179
Pennsylvania,2012,1861.0724
Pennsylvania,2011,2004.0726
Pennsylvania,2010,1935.0284
Pennsylvania,2009,1799.1326
Pennsylvania,2008,1669.7216
Pennsylvania,2007,1619.6704
Pennsylvania,2006,1618.7443993430002
Pennsylvania,2005,1640.2063776758052
Pennsylvania,2004,1422.1191966108017
Illinois,2021,2490.7662
Illinois,2020,2187.9926
Illinois,2019,1869.4634
Illinois,2018,1804.3495
Illinois,2017,1749.5822
Illinois,2016,1749.5822
Illinois,2015,1715.3034
Illinois,2014,1582.8825
Illinois,2013,1557.9102
Illinois,2012,1458.9163
Illinois,2011,1359.7814
Illinois,2010,1323.3651
Illinois,2009,1366.7396
Illinois,2008,1273.6185
Illinois,2007,1145.7913
Illinois,2006,1063.4171032718798
Illinois,2005,1042.6946186659802
Illinois,2004,916.1183446278181
Indiana,2021,2674.4276
Indiana,2020,2475.93
Indiana,2019,2222.1839
Indiana,2018,2074.986
Indiana,2017,2086.9166
Indiana,2016,2086.9166
Indiana,2015,1748.404
Indiana,2014,1620.2263
Indiana,2013,1650.0197
Indiana,2012,1335.6049
Indiana,2011,1301.8357
Indiana,2010,1260.5162
Indiana,2009,1220.03
Indiana,2008,1299.5487
Indiana,2007,1123.1349
Indiana,2006,1037.8819736196538
Indiana,2005,974.0718336652536
Indiana,2004,921.1415934556146
Michigan,2021,2105.641
Michigan,2020,1952.6684
Michigan,2019,1897.8638
Michigan,2018,1729.795
Michigan,2017,1700.2859
Michigan,2016,1700.2859
Michigan,2015,1639.9788
Michigan,2014,1392.3107
Michigan,2013,1333.1921
Michigan,2012,1328.803
Michigan,2011,1340.0662
Michigan,2010,1306.4156
Michigan,2009,1262.9513
Michigan,2008,1161.0376
Michigan,2007,1093.4181
Michigan,2006,988.6617096852846
Michigan,2005,1001.1377817255898
Michigan,2004,1018.8314339232536
Ohio,2021,2975.9737
Ohio,2020,2669.6931
Ohio,2019,2516.056
Ohio,2018,2477.7686
Ohio,2017,2443.0239
Ohio,2016,2443.0239
Ohio,2015,2242.5586
Ohio,2014,1967.5061
Ohio,2013,1822.7555
Ohio,2012,1770.2029
Ohio,2011,1751.3718
Ohio,2010,1602.5468
Ohio,2009,1549.5569
Ohio,2008,1466.6131
Ohio,2007,1491.4635
Ohio,2006,1449.8781618283713
Ohio,2005,1334.9875952167433
Ohio,2004,1274.1969242553278
Wisconsin,2021,2665.7549
Wisconsin,2020,2432.9745
Wisconsin,2019,2292.2931
Wisconsin,2018,2161.5784
Wisconsin,2017,2175.8698
Wisconsin,2016,2175.8698
Wisconsin,2015,2003.1881
Wisconsin,2014,1925.2784
Wisconsin,2013,1674.6386
Wisconsin,2012,1677.9122
Wisconsin,2011,1776.1188
Wisconsin,2010,1682.4255
Wisconsin,2009,1564.3867
Wisconsin,2008,1326.0068
Wisconsin,2007,1327.3423
Wisconsin,2006,1291.3588237350643
Wisconsin,2005,1262.5635438968109
Wisconsin,2004,1243.8038921107734
Iowa,2021,2400.9633
Iowa,2020,2276.5956
Iowa,2019,2081.0772
Iowa,2018,1962.2957
Iowa,2017,1789.9369
Iowa,2016,1789.9369
Iowa,2015,1861.8011
Iowa,2014,1664.3565
Iowa,2013,1562.36
Iowa,2012,1507.3205
Iowa,2011,1574.3125
Iowa,2010,1507.8982
Iowa,2009,1390.2218
Iowa,2008,1289.4561
Iowa,2007,1203.1097
Iowa,2006,1183.4764725525408
Iowa,2005,1091.6711812698054
Iowa,2004,1043.0110694110815
Kansas,2021,1840.9151
Kansas,2020,1749.8546
Kansas,2019,1616.636
Kansas,2018,1516.3301
Kansas,2017,1483.1635
Kansas,2016,1483.1635
Kansas,2015,1319.2997
Kansas,2014,1256.56
Kansas,2013,1089.0245
Kansas,2012,1060.2764
Kansas,2011,1243.0221
Kansas,2010,1181.4312
Kansas,2009,1170.1163
Kansas,2008,1141.1725
Kansas,2007,1077.7111
Kansas,2006,1033.6175604819664
Kansas,2005,1007.0556977582405
Kansas,2004,913.941879911775
Minnesota,2021,3312.794
Minnesota,2020,3156.7177
Minnesota,2019,2990.6215
Minnesota,2018,3015.001
Minnesota,2017,2679.8448
Minnesota,2016,2679.8448
Minnesota,2015,2462.1528
Minnesota,2014,2359.5039
