state,year,total_crimes,property,property_burglary,violent,violent_assault,violent_murder,violent_rape,violant_robbery
Alabama,1960,1222,1035.4,355.9,186.6,138.1,12.4,8.6,27.5
Alabama,1961,1154,985.5,339.3,168.5,128.9,12.9,7.6,19.1
Alabama,1962,1224.3,1067,349.1,157.3,119,9.4,6.5,22.5
Alabama,1963,1333.6,1150.9,376.9,182.7,142.1,10.2,5.7,24.7
Alabama,1964,1571.8,1358.7,466.6,213.1,163,9.3,11.7,29.1
Alabama,1965,1592.5,1392.7,473.7,199.8,149.1,11.4,10.6,28.7
Alabama,1966,1758.3,1528,527.5,230.3,177.7,10.9,9.7,32
Alabama,1967,1851,1612.4,571.4,238.6,183.5,11.7,10.5,33
Alabama,1968,1999,1766.6,628.2,232.4,168.5,11.8,11.1,41
Alabama,1969,2126.6,1876.2,667.2,250.4,181.7,13.7,14,41
Alabama,1970,2479.5,2183.8,776.4,295.7,215.2,11.7,18.5,50.3
Alabama,1971,2498.4,2187,791.8,311.4,219.7,15.1,19,57.6
Alabama,1972,2394.5,2081.3,789.6,313.2,211.7,14.1,18.8,68.6
Alabama,1973,2582.3,2232.2,897.3,350.1,236.3,13.2,21.2,79.4
Alabama,1974,3000.1,2627.2,1057.9,372.9,235.6,15,22.7,99.6
Alabama,1975,3472.5,3079.6,1163.8,392.9,233.5,16,20.4,123
Alabama,1976,3808.3,3419.5,1170,388.8,256,15.1,21.7,96
Alabama,1977,3712.6,3298.2,1135.5,414.4,278.3,14.2,25.2,96.8
Alabama,1978,3938.8,3519.7,1229.3,419.1,281.2,13.3,25.5,99.1
Alabama,1979,4243.8,3830.5,1287.3,413.3,263.1,13.2,27.5,109.5
Alabama,1980,4933.6,4485.1,1526.7,448.5,273.2,13.2,30,132.1
Alabama,1981,4898.8,4428.3,1450.7,470.5,306.1,11.9,26.1,126.5
Alabama,1982,4633.5,4185.8,1256.2,447.7,299.1,10.6,26,112
Alabama,1983,4101,3685,1073.1,416,284.9,9.2,23.5,98.4
Alabama,1984,3902.1,3470.9,1001.8,431.2,300.6,9.4,25.1,96.1
Alabama,1985,3942.1,3484.6,1034.9,457.5,315.5,9.8,26.8,105.4
Alabama,1986,4288.3,3730.3,1159,558,407.9,10.1,28.4,111.6
