state,year,disposable_income_per_capita
Alabama,1998,20103
Alaska,1998,26112
Arizona,1998,21147
Arkansas,1998,18836
California,1998,24763
Colorado,1998,25540
Connecticut,1998,30870
Delaware,1998,25109
District of Columbia,1998,32269
Florida,1998,23625
Georgia,1998,22597
Hawaii,1998,23445
Idaho,1998,20140
Illinois,1998,25616
Indiana,1998,22420
Iowa,1998,22207
Kansas,1998,22874
Kentucky,1998,19587
Louisiana,1998,19854
Maine,1998,21790
Maryland,1998,26691
Massachusetts,1998,27143
Michigan,1998,23429
Minnesota,1998,24783
Mississippi,1998,18195
Missouri,1998,22247
Montana,1998,19018
Nebraska,1998,23220
Nevada,1998,25555
New Hampshire,1998,26587
New Jersey,1998,29365
New Mexico,1998,19021
New York,1998,26876
North Carolina,1998,22021
North Dakota,1998,21017
Ohio,1998,22760
Oklahoma,1998,19382
Oregon,1998,22307
Pennsylvania,1998,23633
Rhode Island,1998,23920
South Carolina,1998,20157
South Dakota,1998,22009
Tennessee,1998,22532
Texas,1998,22613
Utah,1998,19421
Vermont,1998,22612
Virginia,1998,24829
Washington,1998,25570
West Virginia,1998,18276
Wisconsin,1998,23210
Wyoming,1998,22463
Alabama,1999,20648
Alaska,1999,26760
Arizona,1999,21761
Arkansas,1999,19433
California,1999,25769
Colorado,1999,26610
Connecticut,1999,32285
Delaware,1999,26670
District of Columbia,1999,33392
Florida,1999,24256
Georgia,1999,23501
Hawaii,1999,24284
Idaho,1999,20843
Illinois,1999,26496
Indiana,1999,23124
Iowa,1999,22651
Kansas,1999,23438
Kentucky,1999,20243
Louisiana,1999,20293
Maine,1999,22635
Maryland,1999,27950
Massachusetts,1999,28655
Michigan,1999,24498
Minnesota,1999,25906
Mississippi,1999,18643
Missouri,1999,22913
Montana,1999,19207
Nebraska,1999,24164
Nevada,1999,26453
New Hampshire,1999,27743
New Jersey,1999,30230
New Mexico,1999,19142
New York,1999,28101
North Carolina,1999,22717
North Dakota,1999,21352
Ohio,1999,23410
Oklahoma,1999,19691
Oregon,1999,22660
Pennsylvania,1999,24568
Rhode Island,1999,24718
South Carolina,1999,20831
South Dakota,1999,22780
Tennessee,1999,23131
Texas,1999,23430
Utah,1999,20079
Vermont,1999,23679
Virginia,1999,25999
Washington,1999,26365
West Virginia,1999,18782
Wisconsin,1999,23981
Wyoming,1999,23898
Alabama,2000,21527
Alaska,2000,28557
Arizona,2000,22931
Arkansas,2000,20168
California,2000,27424
Colorado,2000,28739
Connecticut,2000,34766
Delaware,2000,29217
District of Columbia,2000,36365
Florida,2000,25680
Georgia,2000,24815
Hawaii,2000,25593
Idaho,2000,22016
Illinois,2000,28299
Indiana,2000,24587
Iowa,2000,24173
Kansas,2000,24519
Kentucky,2000,21739
Louisiana,2000,21391
Maine,2000,23993
Maryland,2000,30019
Massachusetts,2000,30947
Michigan,2000,26131
Minnesota,2000,27520
Mississippi,2000,19541
Missouri,2000,24288
Montana,2000,20277
Nebraska,2000,25384
Nevada,2000,27743
New Hampshire,2000,30496
New Jersey,2000,32751
New Mexico,2000,20534
New York,2000,29930
North Carolina,2000,23734
North Dakota,2000,23329
Ohio,2000,24546
Oklahoma,2000,21224
Oregon,2000,24061
Pennsylvania,2000,26217
Rhode Island,2000,26192
South Carolina,2000,22092
South Dakota,2000,24167
Tennessee,2000,24299
Texas,2000,24894
Utah,2000,21088
Vermont,2000,25326
Virginia,2000,27760
Washington,2000,28072
West Virginia,2000,19902
Wisconsin,2000,25421
Wyoming,2000,25465
Alabama,2001,22243
Alaska,2001,29933
Arizona,2001,23670
Arkansas,2001,21202
California,2001,28677
Colorado,2001,29944
Connecticut,2001,36660
Delaware,2001,32112
District of Columbia,2001,37650
Florida,2001,26726
Georgia,2001,25745
Hawaii,2001,26532
Idaho,2001,22738
Illinois,2001,29510
