state,year,expected_years_of_schooling
Alabama,1990,14.72
Alaska,1990,16.54
Arizona,1990,15.84
Arkansas,1990,14.58
California,1990,15.75
Colorado,1990,16.62
Connecticut,1990,16.23
Delaware,1990,15.88
District of Columbia,1990,16.14
Florida,1990,15.56
Georgia,1990,14.73
Hawaii,1990,15.79
Idaho,1990,15.4
Illinois,1990,15.82
Indiana,1990,15.22
Iowa,1990,15.42
Kansas,1990,15.82
Kentucky,1990,14.51
Louisiana,1990,14.57
Maine,1990,15.89
Maryland,1990,16.16
Massachusetts,1990,16.29
Michigan,1990,15.54
Minnesota,1990,15.93
Mississippi,1990,14.39
Missouri,1990,15.44
Montana,1990,16.2
Nebraska,1990,15.77
Nevada,1990,15.85
New Hampshire,1990,16.48
New Jersey,1990,16.03
New Mexico,1990,15.8
New York,1990,15.79
North Carolina,1990,15.26
North Dakota,1990,15.65
Ohio,1990,15.26
Oklahoma,1990,15.03
Oregon,1990,15.87
Pennsylvania,1990,15.53
Rhode Island,1990,16.02
South Carolina,1990,14.86
South Dakota,1990,15.55
Tennessee,1990,15.08
Texas,1990,15.06
Utah,1990,16.1
Vermont,1990,16.32
Virginia,1990,15.84
Washington,1990,16.27
West Virginia,1990,14.55
Wisconsin,1990,15.48
Wyoming,1990,15.75
Alabama,1991,14.69
Alaska,1991,16.43
Arizona,1991,15.75
Arkansas,1991,14.55
California,1991,15.64
Colorado,1991,16.53
Connecticut,1991,16.16
Delaware,1991,15.81
District of Columbia,1991,16.03
Florida,1991,15.47
Georgia,1991,14.7
Hawaii,1991,15.68
Idaho,1991,15.34
Illinois,1991,15.73
Indiana,1991,15.14
Iowa,1991,15.33
Kansas,1991,15.72
Kentucky,1991,14.48
Louisiana,1991,14.55
Maine,1991,15.8
Maryland,1991,16.07
Massachusetts,1991,16.2
Michigan,1991,15.47
Minnesota,1991,15.84
Mississippi,1991,14.36
Missouri,1991,15.36
Montana,1991,16.11
Nebraska,1991,15.68
Nevada,1991,15.76
New Hampshire,1991,16.4
New Jersey,1991,15.95
New Mexico,1991,15.71
New York,1991,15.71
North Carolina,1991,15.18
North Dakota,1991,15.55
Ohio,1991,15.18
Oklahoma,1991,14.95
Oregon,1991,15.78
Pennsylvania,1991,15.45
Rhode Island,1991,15.93
South Carolina,1991,14.83
South Dakota,1991,15.47
Tennessee,1991,15
Texas,1991,14.97
Utah,1991,16.01
Vermont,1991,16.24
Virginia,1991,15.75
Washington,1991,16.18
West Virginia,1991,14.52
Wisconsin,1991,15.4
Wyoming,1991,15.67
Alabama,1992,14.79
Alaska,1992,16.46
Arizona,1992,15.79
Arkansas,1992,14.65
California,1992,15.67
Colorado,1992,16.58
Connecticut,1992,16.22
Delaware,1992,15.88
District of Columbia,1992,16.07
Florida,1992,15.51
Georgia,1992,14.79
Hawaii,1992,15.7
Idaho,1992,15.42
Illinois,1992,15.81
Indiana,1992,15.22
Iowa,1992,15.42
Kansas,1992,15.8
Kentucky,1992,14.57
Louisiana,1992,14.64
Maine,1992,15.85
Maryland,1992,16.12
Massachusetts,1992,16.26
Michigan,1992,15.55
Minnesota,1992,15.91
Mississippi,1992,14.45
Missouri,1992,15.44
Montana,1992,16.15
Nebraska,1992,15.76
Nevada,1992,15.84
New Hampshire,1992,16.43
New Jersey,1992,16.02
New Mexico,1992,15.77
New York,1992,15.75
North Carolina,1992,15.25
North Dakota,1992,15.63
Ohio,1992,15.26
Oklahoma,1992,15.03
Oregon,1992,15.86
Pennsylvania,1992,15.53
Rhode Island,1992,15.99
South Carolina,1992,14.91
South Dakota,1992,15.55
Tennessee,1992,15.07
Texas,1992,15.05
Utah,1992,16.09
Vermont,1992,16.28
Virginia,1992,15.81
Washington,1992,16.24
West Virginia,1992,14.61
Wisconsin,1992,15.47
Wyoming,1992,15.75
Alabama,1993,15.13
Alaska,1993,16.76
Arizona,1993,16.1
Arkansas,1993,15
California,1993,15.95
Colorado,1993,16.9
Connecticut,1993,16.55
Delaware,1993,16.21
District of Columbia,1993,16.39
Florida,1993,15.84
Georgia,1993,15.11
Hawaii,1993,16.02
Idaho,1993,15.72
Illinois,1993,16.13
Indiana,1993,15.52
Iowa,1993,15.75
Kansas,1993,16.12
Kentucky,1993,14.9
Louisiana,1993,14.98
Maine,1993,16.17
Maryland,1993,16.44
Massachusetts,1993,16.57
Michigan,1993,15.87
Minnesota,1993,16.23
Mississippi,1993,14.78
Missouri,1993,15.77
Montana,1993,16.48
Nebraska,1993,16.09
Nevada,1993,16.14
New Hampshire,1993,16.72
New Jersey,1993,16.33
New Mexico,1993,16.08
New York,1993,16.05
North Carolina,1993,15.57
North Dakota,1993,15.96
Ohio,1993,15.58
Oklahoma,1993,15.35
Oregon,1993,16.16
Pennsylvania,1993,15.86
Rhode Island,1993,16.32
South Carolina,1993,15.25
South Dakota,1993,15.88
Tennessee,1993,15.39
Texas,1993,15.37
Utah,1993,16.4
Vermont,1993,16.59
Virginia,1993,16.13
Washington,1993,16.54
West Virginia,1993,14.95
Wisconsin,1993,15.8
Wyoming,1993,16.06
Alabama,1994,15.19
Alaska,1994,16.76
Arizona,1994,16.11
Arkansas,1994,15.07
California,1994,15.95
Colorado,1994,16.91
Connecticut,1994,16.58
Delaware,1994,16.24
District of Columbia,1994,16.42
Florida,1994,15.84
Georgia,1994,15.14
Hawaii,1994,16.02
Idaho,1994,15.77
Illinois,1994,16.15
Indiana,1994,15.55
Iowa,1994,15.78
Kansas,1994,16.14
Kentucky,1994,14.93
Louisiana,1994,15
Maine,1994,16.19
Maryland,1994,16.46
Massachusetts,1994,16.59
Michigan,1994,15.89
Minnesota,1994,16.25
Mississippi,1994,14.8
Missouri,1994,15.8
Montana,1994,16.5
Nebraska,1994,16.12
Nevada,1994,16.16
New Hampshire,1994,16.74
New Jersey,1994,16.36
New Mexico,1994,16.1
New York,1994,16.07
North Carolina,1994,15.59
North Dakota,1994,15.98
Ohio,1994,15.61
Oklahoma,1994,15.37
Oregon,1994,16.18
Pennsylvania,1994,15.88
Rhode Island,1994,16.34
South Carolina,1994,15.27
South Dakota,1994,15.9
Tennessee,1994,15.42
Texas,1994,15.39
Utah,1994,16.43
Vermont,1994,16.61
Virginia,1994,16.15
Washington,1994,16.56
West Virginia,1994,14.97
Wisconsin,1994,15.82
Wyoming,1994,16.08
Alabama,1995,15.21
Alaska,1995,16.7
Arizona,1995,16.07
Arkansas,1995,15.09
California,1995,15.89
Colorado,1995,16.88
Connecticut,1995,16.56
Delaware,1995,16.23
District of Columbia,1995,16.37
Florida,1995,15.78
Georgia,1995,15.11
Hawaii,1995,15.98
Idaho,1995,15.73
Illinois,1995,16.11
Indiana,1995,15.52
Iowa,1995,15.75
Kansas,1995,16.11
Kentucky,1995,14.9
Louisiana,1995,14.98
Maine,1995,16.16
Maryland,1995,16.42
Massachusetts,1995,16.54
Michigan,1995,15.85
Minnesota,1995,16.21
Mississippi,1995,14.77
Missouri,1995,15.77
Montana,1995,16.46
Nebraska,1995,16.08
Nevada,1995,16.11
New Hampshire,1995,16.68
New Jersey,1995,16.3
New Mexico,1995,16.06
New York,1995,16.02
North Carolina,1995,15.54
North Dakota,1995,15.93
Ohio,1995,15.56
Oklahoma,1995,15.33
Oregon,1995,16.13
Pennsylvania,1995,15.83
Rhode Island,1995,16.28
South Carolina,1995,15.24
South Dakota,1995,15.86
Tennessee,1995,15.38
Texas,1995,15.34
Utah,1995,16.38
Vermont,1995,16.55
Virginia,1995,16.11
Washington,1995,16.51
West Virginia,1995,14.92
Wisconsin,1995,15.77
Wyoming,1995,16.03
Alabama,1996,15.15
Alaska,1996,16.56
Arizona,1996,15.95
Arkansas,1996,15.03
California,1996,15.75
Colorado,1996,16.75
Connecticut,1996,16.45
Delaware,1996,16.13
District of Columbia,1996,16.27
Florida,1996,15.66
Georgia,1996,15.01
Hawaii,1996,15.88
Idaho,1996,15.63
Illinois,1996,15.99
Indiana,1996,15.4
Iowa,1996,15.62
Kansas,1996,15.99
Kentucky,1996,14.79
Louisiana,1996,14.86
Maine,1996,16.05
Maryland,1996,16.3
Massachusetts,1996,16.41
Michigan,1996,15.73
Minnesota,1996,16.09
Mississippi,1996,14.65
Missouri,1996,15.66
Montana,1996,16.35
Nebraska,1996,15.96
Nevada,1996,15.99
New Hampshire,1996,16.57
New Jersey,1996,16.19
New Mexico,1996,15.95
New York,1996,15.89
North Carolina,1996,15.42
North Dakota,1996,15.82
Ohio,1996,15.44
Oklahoma,1996,15.21
Oregon,1996,16.01
Pennsylvania,1996,15.7
Rhode Island,1996,16.17
South Carolina,1996,15.12
South Dakota,1996,15.74
Tennessee,1996,15.26
Texas,1996,15.21
Utah,1996,16.26
Vermont,1996,16.42
Virginia,1996,15.98
Washington,1996,16.38
West Virginia,1996,14.8
Wisconsin,1996,15.65
Wyoming,1996,15.91
Alabama,1997,15.14
Alaska,1997,16.47
Arizona,1997,15.88
Arkansas,1997,15.03
California,1997,15.67
Colorado,1997,16.68
Connecticut,1997,16.4
Delaware,1997,16.08
District of Columbia,1997,16.22
Florida,1997,15.61
Georgia,1997,14.95
Hawaii,1997,15.83
Idaho,1997,15.57
Illinois,1997,15.93
Indiana,1997,15.35
Iowa,1997,15.56
Kansas,1997,15.93
Kentucky,1997,14.75
Louisiana,1997,14.81
Maine,1997,16
Maryland,1997,16.26
Massachusetts,1997,16.36
Michigan,1997,15.68
Minnesota,1997,16.04
Mississippi,1997,14.61
Missouri,1997,15.6
Montana,1997,16.29
Nebraska,1997,15.9
Nevada,1997,15.93
New Hampshire,1997,16.52
New Jersey,1997,16.14
New Mexico,1997,15.89
New York,1997,15.84
North Carolina,1997,15.37
North Dakota,1997,15.76
Ohio,1997,15.39
Oklahoma,1997,15.16
Oregon,1997,15.96
Pennsylvania,1997,15.65
Rhode Island,1997,16.12
South Carolina,1997,15.07
South Dakota,1997,15.69
Tennessee,1997,15.21
Texas,1997,15.17
Utah,1997,16.2
Vermont,1997,16.37
Virginia,1997,15.94
Washington,1997,16.32
West Virginia,1997,14.76
Wisconsin,1997,15.6
Wyoming,1997,15.86
Alabama,1998,15.1
Alaska,1998,16.36
Arizona,1998,15.79
Arkansas,1998,15
California,1998,15.56
Colorado,1998,16.59
Connecticut,1998,16.32
Delaware,1998,16.01
District of Columbia,1998,16.13
Florida,1998,15.52
Georgia,1998,14.85
Hawaii,1998,15.72
Idaho,1998,15.47
Illinois,1998,15.83
Indiana,1998,15.27
Iowa,1998,15.47
Kansas,1998,15.84
Kentucky,1998,14.65
Louisiana,1998,14.71
Maine,1998,15.9
Maryland,1998,16.16
Massachusetts,1998,16.27
Michigan,1998,15.58
Minnesota,1998,15.95
Mississippi,1998,14.51
Missouri,1998,15.51
Montana,1998,16.18
Nebraska,1998,15.81
Nevada,1998,15.84
New Hampshire,1998,16.42
New Jersey,1998,16.05
New Mexico,1998,15.8
New York,1998,15.75
North Carolina,1998,15.28
North Dakota,1998,15.66
Ohio,1998,15.3
Oklahoma,1998,15.06
Oregon,1998,15.86
Pennsylvania,1998,15.56
Rhode Island,1998,16.02
South Carolina,1998,14.98
South Dakota,1998,15.6
Tennessee,1998,15.12
Texas,1998,15.08
Utah,1998,16.11
Vermont,1998,16.28
Virginia,1998,15.85
Washington,1998,16.23
West Virginia,1998,14.66
Wisconsin,1998,15.51
Wyoming,1998,15.77
Alabama,1999,15
Alaska,1999,16.18
