state,year,police_spending_per_capita
Alabama,2004,170.0373163
Alabama,2005,179.8260538
Alabama,2006,199.3907514
Alabama,2007,210.35066
Alabama,2008,222.64352
Alabama,2009,246.4225
Alabama,2010,241.95645
Alabama,2011,241.82545
Alabama,2012,234.52799
Alabama,2013,239.15
Alabama,2014,239.2168
Alabama,2015,252.48474
Alabama,2016,253.42905
Alabama,2017,259.16552
Alabama,2018,261.96373
Alabama,2019,269.95606
Alabama,2020,290.20671
Alabama,2021,287.30777
Alaska,2004,284.3970598
Alaska,2005,309.1809532
Alaska,2006,318.5804277
Alaska,2007,346.37366
Alaska,2008,381.04021
Alaska,2009,432.68016
Alaska,2010,462.97832
Alaska,2011,451.44351
Alaska,2012,468.60744
Alaska,2013,508.23581
Alaska,2014,504.04534
Alaska,2015,534.49407
Alaska,2016,495.24489
Alaska,2017,492.35864
Alaska,2018,603.02121
Alaska,2019,521.65896
Alaska,2020,549.37968
Alaska,2021,552.3249
Arizona,2004,250.6689189
Arizona,2005,262.4782992
Arizona,2006,280.716938
Arizona,2007,330.95356
Arizona,2008,343.18181
Arizona,2009,349.14177
Arizona,2010,334.48932
Arizona,2011,327.03395
Arizona,2012,314.40968
Arizona,2013,311.34599
Arizona,2014,307.7443
Arizona,2015,314.73827
Arizona,2016,333.32936
Arizona,2017,356.72175
Arizona,2018,344.12802
Arizona,2019,408.03897
Arizona,2020,423.7971
Arizona,2021,398.59615
Arkansas,2004,160.3437629
Arkansas,2005,160.3424836
Arkansas,2006,166.887628
Arkansas,2007,168.07681
Arkansas,2008,174.44132
Arkansas,2009,178.96137
Arkansas,2010,185.45451
Arkansas,2011,188.93367
Arkansas,2012,202.34951
Arkansas,2013,216.71549
Arkansas,2014,217.98459
Arkansas,2015,228.0861
Arkansas,2016,228.27536
Arkansas,2017,226.57676
Arkansas,2018,241.94609
Arkansas,2019,236.09036
Arkansas,2020,242.86949
Arkansas,2021,241.30798
California,2004,323.3119068
California,2005,332.6841008
California,2006,349.7091241
California,2007,382.19358
California,2008,412.04333
California,2009,427.72698
California,2010,414.90652
California,2011,403.13878
California,2012,392.38121
California,2013,394.10647
California,2014,411.65026
California,2015,424.34948
California,2016,447.6398
California,2017,478.7778
California,2018,514.88541
California,2019,521.11647
California,2020,560.5471
California,2021,636.07007
Colorado,2004,240.0834708
Colorado,2005,257.6251844
Colorado,2006,254.8737687
Colorado,2007,272.15236
Colorado,2008,290.16244
Colorado,2009,311.78886
Colorado,2010,313.28169
Colorado,2011,316.03317
Colorado,2012,299.87831
Colorado,2013,310.84322
Colorado,2014,329.84546
Colorado,2015,326.9037
Colorado,2016,330.8558
Colorado,2017,337.54392
Colorado,2018,361.00841
Colorado,2019,369.15993
Colorado,2020,393.74817
Colorado,2021,419.69306
Connecticut,2004,230.5327031
Connecticut,2005,238.8173675
Connecticut,2006,257.3120945
Connecticut,2007,258.50984
Connecticut,2008,281.64258
Connecticut,2009,277.36904
Connecticut,2010,292.45612
Connecticut,2011,299.40838
Connecticut,2012,307.71963
Connecticut,2013,310.42258
Connecticut,2014,314.54715
Connecticut,2015,324.63915
Connecticut,2016,346.29768
Connecticut,2017,326.8927
Connecticut,2018,339.39686
Connecticut,2019,345.51679
Connecticut,2020,369.29422
Connecticut,2021,360.84044
Delaware,2004,242.6760616
Delaware,2005,281.1796722
Delaware,2006,332.7029518
Delaware,2007,357.04888
Delaware,2008,319.72091
Delaware,2009,318.64017
Delaware,2010,315.58868
Delaware,2011,322.73323
Delaware,2012,338.44665
Delaware,2013,353.57428
Delaware,2014,366.94042
Delaware,2015,381.76638
Delaware,2016,371.88756
Delaware,2017,394.13146
Delaware,2018,369.40103
Delaware,2019,380.33236
Delaware,2020,392.89638
Delaware,2021,392.2196
District of Columbia,2004,741.6257745
District of Columbia,2005,768.8085398
District of Columbia,2006,862.692117
District of Columbia,2007,871.14992
District of Columbia,2008,1018.3546
District of Columbia,2009,967.17649
District of Columbia,2010,940.22327
District of Columbia,2011,953.5818
District of Columbia,2012,886.78652
District of Columbia,2013,868.18249
District of Columbia,2014,923.73926
District of Columbia,2015,878.3624
District of Columbia,2016,880.55201
District of Columbia,2017,938.84528
District of Columbia,2018,915.69384
District of Columbia,2019,956.01011
District of Columbia,2020,1015.4546
District of Columbia,2021,1000.2048
Florida,2004,287.9649398
Florida,2005,315.86812
Florida,2006,326.2845414
Florida,2007,342.31103
Florida,2008,363.57711
Florida,2009,397.43776
Florida,2010,393.62128
Florida,2011,385.76175
Florida,2012,379.132
Florida,2013,366.90942
Florida,2014,365.87774
Florida,2015,373.76874
Florida,2016,383.17901
Florida,2017,407.69977
Florida,2018,419.73062
Florida,2019,433.92876
Florida,2020,461.15741
Florida,2021,485.0588
Georgia,2004,189.7731984
Georgia,2005,193.4867905
Georgia,2006,214.2768752
Georgia,2007,228.49719
Georgia,2008,241.27637
Georgia,2009,232.60834
Georgia,2010,231.57238
Georgia,2011,236.23232
Georgia,2012,238.91078
Georgia,2013,236.36921
Georgia,2014,238.46721
